Geneid,Chr,Start,End,Strand,Length,Female_1,Female_2,Female_3,Female_4,Labium_1,Labium_2,Labium_3 ,Labium_4,Male_1,Male_2,Male_3 ,Male_4 ,MH_12 
gene9522,NC_035108.1;NC_035108.1,336749042;336754346,336749679;336756408,+;+,2701,2889,1202,3074,4071,2839,2514,2711,2373,7812,12212,3657,2466,7307
gene9523,NC_035108.1;NC_035108.1;NC_035108.1,336772603;336773096;336773232,336773031;336773162;336773586,-;-;-,851,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9524,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,336806817;336848050;336860562;336918553,336807989;336848853;336861611;336919436,-;-;-;-,3911,4198,5274,3933,1785,3186,4887,5248,6204,652,10416,1153,1043,3589
gene9525,NC_035108.1;NC_035108.1,336986923;336995372,336987474;336996798,+;+,1979,2867,2508,2986,1225,685,389,469,711,0,0,0,1745,3830
gene9526,NC_035108.1,337009688,337012063,-,2376,1305,542,0,1,225,656,322,702,0,474,229,343,0
gene9527,NC_035108.1;NC_035108.1;NC_035108.1,337016677;337016842;337017029,337016781;337016945;337017534,+;+;+,715,10,23,24,14,4,8,10,10,13,58,6,17,28
gene9528,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337034837;337045382;337057218;337057748;337075811;337102671,337036187;337046668;337057682;337058083;337076855;337103119,-;-;-;-;-;-,4933,1626,2269,3814,20,665,981,843,1086,2812,114,1409,529,0
gene9529,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337081494;337081834;337093121;337093949;337094740;337094974;337111705;337112677;337112954,337081764;337082527;337093776;337094680;337094904;337095125;337112561;337112893;337113830,+;+;+;+;+;+;+;+;+,4621,4,0,27,32,254,91,14,92,0,7,10,83,0
gene9530,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337120544;337121370;337121609;337130810;337131041,337121114;337121540;337121797;337130997;337131179,-;-;-;-;-,1258,0,0,0,0,184,152,95,71,0,0,0,0,0
gene9531,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337131379;337142243;337142478;337142732,337131815;337142413;337142666;337143022,-;-;-;-,1088,0,0,0,0,51,19,30,10,0,0,0,0,0
gene9532,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337143173;337144207;337144908;337162468;337162717,337143412;337144434;337145078;337162656;337162923,-;-;-;-;-,1035,0,0,0,0,41,154,107,218,0,0,0,0,0
gene9533,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337180271;337181181;337181410;337194343;337194629;337195248;337211426,337180998;337181266;337181598;337194565;337194849;337195674;337212088,+;+;+;+;+;+;+,2537,4074,4751,3539,813,298,838,469,776,0,6,452,6,1082
gene9534,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337228321;337236195;337247570;337258090;337274794,337228832;337237104;337247851;337258158;337275472,+;+;+;+;+,2452,0,0,0,0,339,956,655,714,0,0,0,0,0
gene9535,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337287690;337288568;337298277;337350740,337288496;337289101;337298717;337350930,-;-;-;-,1973,611,0,695,0,0,25,0,0,0,0,0,0,0
gene9536,NC_035108.1;NC_035108.1;NC_035108.1,337376756;337376848;337386811,337376793;337378129;337387121,+;+;+,1631,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9537,NC_035108.1;NC_035108.1,337436918;337457313,337440968;337457425,-;-,4164,0,98,104,0,8,0,0,3,3234,0,0,0,0
gene9538,NC_035108.1;NC_035108.1,337723269;337724834,337723561;337725095,+;+,555,6242,4732,4628,5699,1698,1609,1603,1293,1737,1514,1938,1878,6521
gene9539,NC_035108.1;NC_035108.1;NC_035108.1,337725051;337725830;337726602,337725554;337726450;337726719,-;-;-,1243,6695,3510,2096,2671,5088,3803,3129,4216,1895,3700,6307,1023,5849
gene9540,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337740150;337740452;337741401;337742483;337742737;337743111;337758687,337740395;337741071;337742417;337742670;337743045;337743340;337758919,+;+;+;+;+;+;+,2843,751,1371,0,10,607,322,632,501,0,0,1289,4143,0
gene9541,NC_035108.1;NC_035108.1,337750473;337750812,337750747;337751593,-;-,1057,0,0,0,0,14,42,71,91,0,0,0,0,0
gene9542,NC_035108.1;NC_035108.1;NC_035108.1,337758799;337773156;337775188,337760697;337775118;337775469,-;-;-,4144,2722,2088,2189,1635,1767,2351,2125,3181,2532,2787,505,902,330
gene9543,NC_035108.1;NC_035108.1;NC_035108.1,337786523;337786894;337787123,337786677;337786977;337787581,+;+;+,698,26448,25518,26943,21889,17073,15981,13680,12050,15695,65176,23972,42209,29668
gene9544,NC_035108.1;NC_035108.1;NC_035108.1,337792889;337793262;337794132,337793197;337794064;337794381,-;-;-,1362,919,357,0,0,465,573,241,436,0,0,10,3679,1912
gene9545,NC_035108.1;NC_035108.1;NC_035108.1,337798359;337799651;337800150,337799346;337800085;337800510,-;-;-,1784,367,0,0,0,0,44,44,50,0,0,0,0,1233
gene9546,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337807180;337808876;337808915;337809016;337809455;337813120;337814808;337815472;337815638;337821060,337807562;337808896;337808933;337809387;337809589;337814743;337815185;337815568;337815768;337822275,+;+;+;+;+;+;+;+;+;+,4376,1020,291,1588,411,1511,2094,1978,2642,0,0,190,2,1238
gene9547,NC_035108.1;NC_035108.1;NC_035108.1,337821430;337822613;337829565,337822546;337822750;337829723,-;-;-,1414,883,1795,569,910,449,380,414,500,0,0,749,0,1593
gene9548,NC_035108.1,337829779,337830751,+,973,1763,0,1708,1308,702,785,892,950,256,4,706,2551,1122
gene9549,NC_035108.1;NC_035108.1,337840743;337841581,337841510;337841869,-;-,1057,798,29,3264,2784,758,498,554,634,0,2505,460,540,8
gene9550,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337847942;337848745;337850042;337854538,337848427;337848813;337850072;337855736,+;+;+;+,1785,2217,3171,3832,6036,3000,3773,4128,3794,4467,2640,2921,0,1076
gene9551,NC_035108.1;NC_035108.1,337855701;337856135,337856049;337856610,-;-,825,553,908,2439,1086,78,278,181,105,0,0,0,1,121
gene9552,NC_035108.1;NC_035108.1;NC_035108.1,337913451;337914023;337914262,337913956;337914198;337914400,+;+;+,821,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9553,NC_035108.1;NC_035108.1,337920492;337920949,337920529;337921042,-;-,132,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9554,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,337930658;337930885;337931113;337931878,337930819;337931051;337931450;337932024,-;-;-;-,814,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9555,NC_035108.1;NC_035108.1;NC_035108.1,337986057;337986161;337986718,337986099;337986512;337987396,+;+;+,1074,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9556,NC_035108.1;NC_035108.1;NC_035108.1,337998941;337999230;337999455,337999164;337999396;337999847,-;-;-,784,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9557,NC_035108.1;NC_035108.1;NC_035108.1,338016427;338016716;338016941,338016650;338016882;338017337,-;-;-,788,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9558,NC_035108.1;NC_035108.1;NC_035108.1,338019692;338019981;338020206,338019915;338020147;338020602,-;-;-,788,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9559,NC_035108.1;NC_035108.1;NC_035108.1,338042771;338043012;338043157,338042950;338043095;338043225,+;+;+,333,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9560,NC_035108.1;NC_035108.1;NC_035108.1,338389284;338389519;338389743,338389459;338389685;338390175,-;-;-,776,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9561,NC_035108.1;NC_035108.1;NC_035108.1,338402417;338402584;338402808,338402522;338402750;338403245,-;-;-,711,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9562,NC_035108.1;NC_035108.1;NC_035108.1,338404881;338405371;338405599,338405312;338405537;338405800,+;+;+,801,66,0,0,0,0,0,0,0,0,0,0,0,0
gene9563,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,338519048;338577542;338792865;338800333;338856745;338857293;338858255;338869713;338869910;338870910;338871090;338871380;338871540;338888375;338898485,338520138;338578575;338793058;338800435;338856898;338857423;338858395;338869844;338870841;338871029;338871318;338871475;338871947;338889801;338899545,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,7253,0,0,0,0,191,716,344,461,0,0,0,0,0
gene9564,NC_035108.1,338709594,338709665,+,72,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9565,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,338979845;339037190;339083886;339100799;339101044;339101260;339111911,338980205;339037701;339084968;339100959;339101190;339101333;339113115,+;+;+;+;+;+;+,3543,494,1,13,0,3088,3665,2682,4652,0,1836,2774,3506,0
gene9566,NC_035108.1;NC_035108.1,339001792;339002911,339002848;339003430,-;-,1577,0,0,0,0,0,0,0,0,0,1,0,0,0
gene9567,NC_035108.1;NC_035108.1;NC_035108.1,339123462;339123741;339124538,339123676;339124217;339124587,-;-;-,742,274,272,463,1210,229,165,255,214,0,0,125,698,0
gene9568,NC_035108.1;NC_035108.1,339167171;339167906,339167840;339168202,-;-,967,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9569,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,339217703;339228348;339648406;339659148;339715181;339715524;339715858;339717206;339729652;339729976;339741722;339781294,339218283;339229074;339648599;339659250;339715465;339715796;339717135;339717301;339729892;339730136;339741899;339783714,+;+;+;+;+;+;+;+;+;+;+;+,6538,88,0,315,0,305,555,439,650,0,0,0,0,1
gene9570,NC_035108.1;NC_035108.1,339530118;339530443,339530377;339531103,+;+,921,9,0,55,0,17,8,11,11,0,0,0,0,0
gene9571,NC_035108.1;NC_035108.1,340112981;340113477,340113406;340113647,+;+,597,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9572,NC_035108.1;NC_035108.1,340163083;340163514,340163446;340163745,-;-,596,0,0,303,0,1052,784,621,649,0,0,735,0,0
gene9573,NC_035108.1;NC_035108.1,340340520;340346196,340341036;340346561,-;-,883,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9574,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,340356824;340390617;340401338;340401628;340410762;340410804;340514486;340577743;340578094;340587447,340358194;340390974;340401560;340402063;340410782;340410964;340514546;340577898;340578134;340587745,-;-;-;-;-;-;-;-;-;-,3127,31,0,140,1,2239,2124,2417,2543,0,200,605,0,0
gene9575,NC_035108.1;NC_035108.1;NC_035108.1,340381698;340381894;340382332,340381827;340382269;340382813,+;+;+,988,0,0,0,0,4,55,58,39,0,0,310,0,0
gene9576,NC_035108.1;NC_035108.1,340609575;340609848,340609783;340610402,+;+,764,96,0,0,0,97,27,28,21,0,0,0,0,0
gene9577,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,340613902;340615517;340615701;340624984;340650806;340678394;340678496;340694513,340615380;340615638;340616095;340625338;340651232;340678462;340678640;340694751,-;-;-;-;-;-;-;-,3231,2083,2042,1653,2310,1171,1604,1326,2895,0,0,1086,2022,0
gene9578,NC_035108.1;NC_035108.1;NC_035108.1,340721750;340722661;340722834,340722158;340722765;340723148,+;+;+,829,3775,5704,3608,3918,2722,2693,2389,2672,3389,20050,2597,376,3796
gene9579,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,340744643;340745578;340766345;340766640;340767209;340769483;340769905;340770138;340770542;340809132;340816089;340826234;340864368;340882728;340951257,340744877;340745711;340766565;340766798;340767295;340769518;340770073;340770469;340770666;340809336;340816291;340827289;340864490;340883998;340951995,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,5095,3396,2546,923,0,2401,3807,3157,2832,0,5203,645,1460,274
gene9580,NC_035108.1;NC_035108.1,340863945;340864415,340864333;340865647,+;+,1622,0,0,0,0,112,38,101,143,0,0,0,0,0
gene9581,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,340963717;340964348;340965860;340966553;340969530;340973467,340964287;340965801;340966480;340966722;340969550;340973868,-;-;-;-;-;-,3239,0,0,31,0,26,38,31,31,0,0,0,0,0
gene9582,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,340990826;340993137;340993571;340996190;340997381;341005486;341010294;341010438,340992806;340993501;340993762;340997315;340997579;341005742;341010373;341010640,-;-;-;-;-;-;-;-,4403,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9583,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,341019683;341031744;341031931;341032111;341034928;341037995;341068384;341086866;341109914;341123085,341020574;341031860;341032052;341032236;341035038;341038119;341068537;341087978;341110048;341123195,-;-;-;-;-;-;-;-;-;-,3006,4728,7700,6701,3441,6395,9189,9039,12525,1239,5352,2449,3614,3073
gene9584,NC_035108.1;NC_035108.1,341128896;341129064,341128997;341129243,+;+,282,1,77,219,46,46,8,39,31,0,0,0,0,0
gene9585,NC_035108.1;NC_035108.1,341129233;341129659,341129591;341129931,-;-,632,501,0,538,479,69,13,185,119,0,0,0,0,0
gene9586,NC_035108.1;NC_035108.1;NC_035108.1,341141466;341142207;341142521,341142139;341142423;341142984,-;-;-,1355,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9587,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,341160180;341161008;341161299;341195110;341208123;341208377;341215464;341227924;341228347;341228578;341230081;341230457;341230796;341231206,341160718;341161218;341161317;341195432;341208304;341208472;341215595;341227956;341228514;341228760;341230216;341230735;341231139;341232425,+;+;+;+;+;+;+;+;+;+;+;+;+;+,3865,132,1332,7,109,469,430,619,909,7549,741,69,0,636
gene9588,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,341240753;341242763;341243232;341247091,341241683;341243175;341243494;341247479,-;-;-;-,1996,456,344,1331,2355,1026,1225,1163,1387,0,0,1525,8323,2306
gene9589,NC_035108.1;NC_035108.1,341274438;341274639,341274571;341276107,+;+,1603,175,38,2031,920,183,242,255,245,0,0,865,569,0
gene9590,NC_035108.1;NC_035108.1;NC_035108.1,341276096;341286820;341288680,341276586;341288593;341288905,-;-;-,2491,1685,2869,624,559,836,797,588,670,0,0,3277,0,0
gene9591,NC_035108.1;NC_035108.1;NC_035108.1,341290565;341291007;341291182,341290952;341291121;341291297,-;-;-,619,0,0,0,0,0,1,0,0,0,0,0,2,0
gene9592,NC_035108.1;NC_035108.1,341293645;341294195,341294113;341294434,-;-,709,0,0,0,0,15,1,5,13,0,0,0,0,0
gene9593,NC_035108.1;NC_035108.1,341301185;341562727,341302827;341563097,+;+,2014,0,0,29,88,201,63,185,373,0,0,0,0,0
gene9594,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,341332841;341344022;341344296;341377033;341377439;341377856;341383456;341384469;341507213,341333931;341344232;341344539;341377180;341377795;341378412;341384406;341385114;341507259,-;-;-;-;-;-;-;-;-,4252,0,0,268,0,0,8,16,35,37,0,0,0,0
gene9595,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,341907147;341907968;341966795;341988558;341989616;341989779,341907429;341909543;341966997;341989555;341989704;341989949,+;+;+;+;+;+,3320,0,212,0,262,223,366,159,223,0,0,0,0,0
gene9596,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342041155;342087661;342100800;342230038;342309556;342309877;342310128;342357351;342371961;342411427;342411689;342417350;342423452,342042257;342087854;342101346;342230755;342309816;342310051;342310196;342357767;342372155;342411620;342411800;342417370;342424056,+;+;+;+;+;+;+;+;+;+;+;+;+,4611,1182,440,558,238,156,292,265,304,0,0,316,0,0
gene9597,NC_035108.1,342172018,342172089,+,72,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9598,NC_035108.1;NC_035108.1,342304301;342304405,342304339;342304633,+;+,268,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9599,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342334743;342338010;342338914;342342617;342342839;342343016;342343533,342335196;342338851;342339199;342342778;342342956;342343134;342343928,+;+;+;+;+;+;+,2377,0,0,0,0,0,0,0,0,0,1,1,0,0
gene9600,NC_035108.1;NC_035108.1,342430902;342432354,342431535;342434275,+;+,2556,2943,2011,3439,5850,412,364,335,277,445,3248,812,2,2688
gene9601,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342449674;342451473;342452145;342454914;342455130;342455487;342460139,342451417;342452062;342452243;342455054;342455248;342455581;342460335,-;-;-;-;-;-;-,2985,3549,4901,4952,5472,1586,1965,1701,2032,271,8409,3449,6832,892
gene9602,NC_035108.1,342460423,342461137,+,715,2278,1220,1868,1407,822,960,933,749,0,2311,840,1719,1303
gene9603,NC_035108.1;NC_035108.1,342462848;342463390,342463331;342463883,+;+,978,0,15,50,62,12,5,11,3,0,0,70,0,0
gene9604,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342468905;342470325;342471021;342473411,342469870;342470889;342471302;342473813,+;+;+;+,2216,0,0,4,0,17,106,26,143,0,0,0,13,773
gene9605,NC_035108.1;NC_035108.1;NC_035108.1,342474754;342475042;342475289,342474985;342475136;342475578,-;-;-,617,271,352,430,569,371,278,252,234,0,90,506,0,936
gene9606,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342481752;342491807;342492243;342492911;342493134;342493711;342493913;342502959,342482129;342492185;342492656;342493070;342493643;342493847;342494125;342503614,+;+;+;+;+;+;+;+,2847,2397,3873,3398,826,3008,3721,3838,3554,89,2615,1948,2608,3711
gene9607,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342503544;342504377;342514574;342514887;342515192;342515454,342504177;342504853;342514823;342515120;342515294;342515778,-;-;-;-;-;-,2023,1,0,0,0,196,31,137,172,0,0,0,0,0
gene9608,NC_035108.1;NC_035108.1;NC_035108.1,342581643;342582228;342583470,342582172;342583414;342583508,+;+;+,1756,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9609,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342592927;342852086;342870775;342870951;342871900,342594871;342852399;342870879;342871832;342872040,+;+;+;+;+,3387,23,0,0,0,20,57,26,38,0,0,135,0,0
gene9610,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342650473;342651219;342656113;342656565;342656994,342650849;342651729;342656327;342656921;342657126,-;-;-;-;-,1593,0,0,0,0,0,2,0,0,0,0,0,1,0
gene9611,NC_035108.1;NC_035108.1;NC_035108.1,342859531;342860201;342860332,342860141;342860272;342860579,-;-;-,931,0,0,0,0,71,81,115,189,0,0,0,0,0
gene9612,NC_035108.1;NC_035108.1,342888115;342888528,342888471;342889570,+;+,1400,2702,1531,0,2532,740,527,785,822,0,174,0,0,3017
gene9613,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342908961;342909504;342909925;342910218,342909445;342909852;342910136;342910435,-;-;-;-,1264,1243,1721,0,2868,1146,1172,733,1453,0,58,1175,61,2904
gene9614,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,342936542;343005694;343102601;343111571;343111793;343112042;343112264;343112490,342937100;343005745;343102659;343111727;343111973;343112198;343112415;343112587,+;+;+;+;+;+;+;+,1415,782,0,132,591,656,1211,869,1526,0,14,0,138,0
gene9615,NC_035108.1;NC_035108.1;NC_035108.1,343119455;343127081;343129030,343119807;343127186;343130126,+;+;+,1556,3014,3531,6953,5563,7541,7138,7636,9530,8312,18543,3497,10974,3744
gene9616,NC_035108.1;NC_035108.1,343125909;343126185,343126050;343126826,-;-,784,0,63,0,0,18,5,3,0,0,0,0,0,0
gene9617,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,343131520;343135213;343135610;343137462;343141438;343147275,343134319;343135551;343135836;343140071;343141841;343147753,-;-;-;-;-;-,6859,410,433,428,237,261,369,236,238,0,212,1254,0,1720
gene9618,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,343336916;343383811;343831733;343832774;343874214;343874421;343875490;343875753,343337250;343384360;343832716;343833068;343874345;343874608;343875676;343878738,+;+;+;+;+;+;+;+,5657,30892,22203,29608,25759,27,27,89,144,16347,71504,17018,78077,40163
gene9619,NC_035108.1,343519881,343520484,-,604,0,0,0,21,0,0,0,1,0,0,0,0,64
gene9620,NC_035108.1;NC_035108.1,343597248;343602772,343597539;343603269,+;+,790,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9621,NC_035108.1;NC_035108.1,343841612;343842165,343842053;343843511,-;-,1789,0,0,0,0,0,3,8,1,0,0,0,0,0
gene9622,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,343886987;343902807;343908735;343909077,343887987;343905671;343909020;343911150,+;+;+;+,6226,951,771,365,625,1325,1335,1415,1458,0,1050,664,164,2593
gene9623,NC_035108.1;NC_035108.1,343912909;343913356,343913289;343913584,+;+,610,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9624,NC_035108.1,343916197,343917998,+,1802,787,849,280,0,574,355,306,647,0,0,312,4,0
gene9625,NC_035108.1;NC_035108.1,343917992;343918649,343918538;343919381,-;-,1280,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9626,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,343919489;343919748;343928900;343929427;343929533;343929866;343930011;343930276;343930594,343919683;343919956;343929365;343929471;343929863;343929950;343930216;343930481;343930849,+;+;+;+;+;+;+;+;+,1999,52,0,117,0,26,25,15,35,0,0,0,0,0
gene9627,NC_035108.1;NC_035108.1,343930844;343931230,343931168;343931533,-;-,629,0,1,0,0,0,0,0,0,0,0,0,0,0
gene9628,NC_035108.1;NC_035108.1,343938918;343939213,343939146;343939593,-;-,610,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9629,NC_035108.1;NC_035108.1;NC_035108.1,343940291;343941154;343942303,343941152;343941778;343942927,+;+;+,2112,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9630,NC_035108.1;NC_035108.1,343991666;343991887,343991816;343991990,-;-,255,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9631,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,344160792;344162694;344166741;344346596;344372346;344407769;344408297;344413451;344413648;344414503;344430773;344431110;344464804,344161121;344163292;344167125;344346820;344372508;344408037;344408567;344413569;344413842;344414713;344430913;344431260;344465384,+;+;+;+;+;+;+;+;+;+;+;+;+,3640,29,0,28,254,11,19,19,46,0,0,0,0,0
gene9632,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,344241005;344249013;344249485;344249696,344241465;344249421;344249608;344249908,-;-;-;-,1207,0,0,182,0,622,777,685,1220,0,0,1129,0,0
gene9633,NC_035108.1;NC_035108.1;NC_035108.1,344264654;344264870;344273091,344264815;344265008;344273823,+;+;+,1034,0,0,0,0,3710,4572,3970,6457,0,0,7620,0,0
gene9634,NC_035108.1;NC_035108.1,344486124;344487052,344486524;344487711,+;+,1061,0,0,0,0,0,0,0,0,0,0,0,0,0
gene9635,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,344515088;344515314;344515567;344524093;344525319,344515252;344515385;344515615;344524219;344525588,+;+;+;+;+,683,580,1577,413,763,1366,1147,838,923,1173,2477,1056,1552,325
gene9636,NC_035108.1,344520133,344520204,+,72,0,0,0,0,2,1,0,3,0,0,0,0,0
gene9637,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,344564154;344568949;344585632;344598006;344600201,344564408;344568950;344585846;344598144;344600647,+;+;+;+;+,1058,14031,11368,14024,8211,10347,11361,10538,17594,10002,0,11103,802,12417
gene9638,NC_035108.1;NC_035108.1;NC_035108.1,344610452;344610819;344611009,344610742;344610926;344612034,+;+;+,1425,0,0,0,0,546,440,247,451,0,0,0,0,0
gene9639,NC_035108.1;NC_035108.1,344749045;344760084,344749348;344760498,-;-,719,0,0,427,237,24,42,66,36,0,0,53,0,0
gene9640,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,344895136;344896052;344896262;344908181;344908490;344909978;344910392;344918047;344918248;344922626;344928282;344943623,344895986;344896200;344896472;344908422;344909047;344910331;344911021;344918184;344922560;344922806;344928584;344944276,-;-;-;-;-;-;-;-;-;-;-;-,8584,6591,5706,2752,4349,2573,2956,3222,4015,9,3961,4567,3790,3139
gene9641,NC_035108.1;NC_035108.1;NC_035108.1,344950186;344950803;344957807,344950735;344951567;344958881,-;-;-,2390,1440,1149,1420,1352,792,920,888,1259,0,86,738,413,588
gene9642,NC_035108.1;NC_035108.1;NC_035108.1,344960450;344960889;344965961,344960747;344960982;344967007,+;+;+,1439,9208,7556,11195,7809,5734,4814,3802,5328,8438,3890,1895,6288,17204
gene9643,NC_035108.1,344983714,344984621,-,908,17542,14746,13438,14202,12180,11952,10462,9694,8518,16874,15849,16601,14991
gene9644,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,345125321;345126356;345191463;345194327;345208087,345126279;345130814;345191732;345195188;345210293,+;+;+;+;+,8757,3000,2779,462,1288,3925,5250,4574,7024,49,6294,2504,1538,1108
gene9645,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,345219785;345220428;345226758;345226932;345227225,345220363;345220571;345226870;345227127;345227352,-;-;-;-;-,1160,9083,6315,8068,3552,3556,3688,3538,3875,4802,4227,3513,933,4781
